"year","zone","rooms","measure","value"
"2007","S01001790","Median","Count",4
"2008","S01001790","5.0","Count",80
"2013","S01001790","5.0","Count",79
"2006","S01001790","5.0","Count",81
"2011","S01001790","5.0","Count",80
"2009","S01001790","5.0","Count",80
"2012","S01001790","5.0","Count",79
"2010","S01001790","5.0","Count",80
"2007","S01001790","5.0","Count",80
"2010","S01001790","6.0","Count",37
"2013","S01001790","6.0","Count",37
"2006","S01001790","6.0","Count",36
"2009","S01001790","6.0","Count",37
"2008","S01001790","6.0","Count",37
"2011","S01001790","6.0","Count",37
"2007","S01001790","6.0","Count",37
"2012","S01001790","6.0","Count",37
"2009","S01001790","7.0","Count",34
"2007","S01001790","7.0","Count",32
"2010","S01001790","7.0","Count",34
"2011","S01001790","7.0","Count",34
"2006","S01001790","7.0","Count",32
"2013","S01001790","7.0","Count",35
"2012","S01001790","7.0","Count",35
"2008","S01001790","7.0","Count",34
"2013","S01001790","8.0","Count",1
"2011","S01001790","8.0","Count",1
"2008","S01001790","8.0","Count",1
"2012","S01001790","8.0","Count",1
"2006","S01001790","8.0","Count",1
"2009","S01001790","8.0","Count",1
"2007","S01001790","8.0","Count",1
"2010","S01001790","8.0","Count",1
"2011","S01001790","9.0","Count",4
"2006","S01001790","9.0","Count",3
"2010","S01001790","9.0","Count",4
"2009","S01001790","9.0","Count",4
"2007","S01001790","9.0","Count",3
"2008","S01001790","9.0","Count",3
"2013","S01001790","9.0","Count",4
"2012","S01001790","9.0","Count",4
"2006","S01001790","Unknown","Count",0
"2007","S01001790","Unknown","Count",0
"2008","S01001790","Unknown","Count",0
"2009","S01001790","Unknown","Count",0
"2010","S01001790","Unknown","Count",0
"2011","S01001790","Unknown","Count",0
"2012","S01001790","Unknown","Count",0
"2013","S01001790","Unknown","Count",0
"2008","S01001790","1.0","Count",1
"2006","S01001790","1.0","Count",1
"2007","S01001790","1.0","Count",1
"2012","S01001790","1.0","Count",1
"2013","S01001790","1.0","Count",1
"2010","S01001790","1.0","Count",1
"2009","S01001790","1.0","Count",1
"2011","S01001790","1.0","Count",1
"2012","S01001790","2.0","Count",0
"2006","S01001790","2.0","Count",0
"2009","S01001790","2.0","Count",0
"2011","S01001790","2.0","Count",0
"2008","S01001790","2.0","Count",0
"2013","S01001790","2.0","Count",0
"2007","S01001790","2.0","Count",0
"2010","S01001790","2.0","Count",0
"2012","S01001790","3.0","Count",138
"2013","S01001790","3.0","Count",138
"2010","S01001790","3.0","Count",140
"2007","S01001790","3.0","Count",140
"2008","S01001790","3.0","Count",140
"2011","S01001790","3.0","Count",140
"2006","S01001790","3.0","Count",142
"2009","S01001790","3.0","Count",140
"2011","S01001790","4.0","Count",19
"2006","S01001790","4.0","Count",20
"2013","S01001790","4.0","Count",21
"2012","S01001790","4.0","Count",21
"2010","S01001790","4.0","Count",19
"2009","S01001790","4.0","Count",19
"2007","S01001790","4.0","Count",20
"2008","S01001790","4.0","Count",20
"2011","S01001790","10+","Ratio","0.63"
"2012","S01001790","10+","Ratio","0.63"
"2008","S01001790","10+","Ratio","0.63"
"2009","S01001790","10+","Ratio","0.63"
"2007","S01001790","10+","Ratio","0.63"
"2010","S01001790","10+","Ratio","0.63"
"2013","S01001790","10+","Ratio","0.63"
"2006","S01001790","10+","Ratio","0.63"
"2009","S01001790","1-3","Ratio","44.34"
"2013","S01001790","1-3","Ratio","43.71"
"2012","S01001790","1-3","Ratio","43.71"
"2007","S01001790","1-3","Ratio","44.62"
"2006","S01001790","1-3","Ratio","44.97"
"2011","S01001790","1-3","Ratio","44.34"
"2010","S01001790","1-3","Ratio","44.34"
"2008","S01001790","1-3","Ratio","44.34"
"2007","S01001790","4-6","Ratio","43.35"
"2010","S01001790","4-6","Ratio","42.77"
"2008","S01001790","4-6","Ratio","43.08"
"2011","S01001790","4-6","Ratio","42.77"
"2006","S01001790","4-6","Ratio","43.08"
"2012","S01001790","4-6","Ratio","43.08"
"2009","S01001790","4-6","Ratio","42.77"
"2013","S01001790","4-6","Ratio","43.08"
"2008","S01001790","7-9","Ratio","11.95"
"2007","S01001790","7-9","Ratio","11.39"
"2009","S01001790","7-9","Ratio","12.26"
"2013","S01001790","7-9","Ratio","12.58"
"2010","S01001790","7-9","Ratio","12.26"
"2011","S01001790","7-9","Ratio","12.26"
"2006","S01001790","7-9","Ratio","11.32"
"2012","S01001790","7-9","Ratio","12.58"
"2006","S01001790","Unknown","Ratio",0
"2010","S01001790","Unknown","Ratio",0
"2012","S01001790","Unknown","Ratio",0
"2007","S01001790","Unknown","Ratio",0
"2008","S01001790","Unknown","Ratio",0
"2011","S01001790","Unknown","Ratio",0
"2009","S01001790","Unknown","Ratio",0
"2013","S01001790","Unknown","Ratio",0
"2007","S01001791","Median","Count",5
"2008","S01001791","5.0","Count",80
"2013","S01001791","5.0","Count",82
"2006","S01001791","5.0","Count",79
"2011","S01001791","5.0","Count",80
"2009","S01001791","5.0","Count",80
"2012","S01001791","5.0","Count",82
"2010","S01001791","5.0","Count",79
"2007","S01001791","5.0","Count",80
"2010","S01001791","6.0","Count",39
"2013","S01001791","6.0","Count",38
"2006","S01001791","6.0","Count",41
"2009","S01001791","6.0","Count",40
"2008","S01001791","6.0","Count",41
"2011","S01001791","6.0","Count",39
"2007","S01001791","6.0","Count",41
"2012","S01001791","6.0","Count",38
"2009","S01001791","7.0","Count",38
"2007","S01001791","7.0","Count",38
"2010","S01001791","7.0","Count",41
"2011","S01001791","7.0","Count",42
"2006","S01001791","7.0","Count",37
"2013","S01001791","7.0","Count",42
"2012","S01001791","7.0","Count",42
"2008","S01001791","7.0","Count",38
"2013","S01001791","8.0","Count",25
"2011","S01001791","8.0","Count",25
"2008","S01001791","8.0","Count",25
"2012","S01001791","8.0","Count",25
"2006","S01001791","8.0","Count",25
"2009","S01001791","8.0","Count",25
"2007","S01001791","8.0","Count",25
"2010","S01001791","8.0","Count",25
"2011","S01001791","9.0","Count",3
"2006","S01001791","9.0","Count",2
"2010","S01001791","9.0","Count",3
"2009","S01001791","9.0","Count",3
"2007","S01001791","9.0","Count",2
"2008","S01001791","9.0","Count",3
"2013","S01001791","9.0","Count",4
"2012","S01001791","9.0","Count",4
"2006","S01001791","Unknown","Count",0
"2007","S01001791","Unknown","Count",0
"2008","S01001791","Unknown","Count",0
"2009","S01001791","Unknown","Count",0
"2010","S01001791","Unknown","Count",0
"2011","S01001791","Unknown","Count",0
"2012","S01001791","Unknown","Count",0
"2013","S01001791","Unknown","Count",0
"2008","S01001791","1.0","Count",0
"2006","S01001791","1.0","Count",0
"2007","S01001791","1.0","Count",0
"2012","S01001791","1.0","Count",0
"2013","S01001791","1.0","Count",0
"2010","S01001791","1.0","Count",0
"2009","S01001791","1.0","Count",0
"2011","S01001791","1.0","Count",0
"2012","S01001791","2.0","Count",2
"2006","S01001791","2.0","Count",2
"2009","S01001791","2.0","Count",6
"2011","S01001791","2.0","Count",2
"2008","S01001791","2.0","Count",2
"2013","S01001791","2.0","Count",2
"2007","S01001791","2.0","Count",2
"2010","S01001791","2.0","Count",2
"2012","S01001791","3.0","Count",89
"2013","S01001791","3.0","Count",89
"2010","S01001791","3.0","Count",93
"2007","S01001791","3.0","Count",93
"2008","S01001791","3.0","Count",93
"2011","S01001791","3.0","Count",93
"2006","S01001791","3.0","Count",93
"2009","S01001791","3.0","Count",93
"2011","S01001791","4.0","Count",20
"2006","S01001791","4.0","Count",20
"2013","S01001791","4.0","Count",22
